XY travel [mm]: (0.0, 0.0) -> (0.7, 0.7)
Z travel [mm]: (0) -> (0.8)
XY travel [step]: (0, 0) -> (220, 220)
Z travel [step]: (0) -> (504)
(221 x 221 x 505)
1830,1746,2421,838,896,800,1117,7187,6869,8914,13493,782,7502,9063,8445,8505,9184,12532,7586,9803,12796,9619,15180,16540,20197,19748,10909,10518,20566,13316,4014,20483,19979,16795,10273,14522,20270,4638,1267,4173,2796,6235,3323,5579,3067,3138,6192,5780,3770,2805,3207,19354,11391,7539,7143,7420,3140,7418,3330,3377,7961,7583,3433,11483,7876,7887,7147,8368,7918,8324,7796,8081,7839,7626,10819,5694,5416,5613,5302,5697,5406,5895,5536,6063,6110,6279,10050,10269,10056,10225,10617,10308,10011,10392,10389,10510,10436,10398,10205,10876,10944,11173,10826,12367,11594,11254,11827,15419,12282,12919,11948,2804,2674,2726,2707,2600,3651,16373,17650,15768,16781,7792,20243,20626,20553,19273,10013,12210,20273,11866,6893,17894,14980,5984,17728,20625,3644,9534,19793,15894,5626,11686,11832,14907,6399,6234,2942,12887,9568,2355,2185,2478,2477,18773,10873,11095,9579,10011,8963,6067,9744,7675,3598,813,923,1002,971,399,915,1657,1864,1458,912,1654,690,1040,1188,6929,1156,1171,970,1412,12676,12627,4321,12759,5406,17913,13002,7508,12755,6440,16824,12924,6955,3820,6683,824,214,5730,3026,9500,9145,2313,211,4995,3296,2475,3563,1945,15803,3904,2847,2555,2546,2844,2863,1695,2841,2600,25
875,476,311,689,1073,1018,1496,805,1208,677,7925,7734,7499,7231,9887,808,797,9306,313,9222,9317,13179,9970,14979,14525,15253,15307,15020,18867,14902,13684,14937,19907,15381,6322,16945,11133,12366,5026,4616,96,3941,20364,2790,6018,689,2270,2897,8240,6013,10483,8181,6147,3172,2148,7585,2999,6800,8617,3021,7753,3843,7875,7137,8618,8034,8366,8005,7921,8006,10876,8107,3260,3428,11330,6095,5895,5482,6021,5535,6360,6130,6403,6307,6601,6409,10435,6639,10355,10784,11174,11018,11257,10828,11049,10824,11133,10823,11212,10908,11640,3302,11335,3093,3045,11821,3049,3170,12175,13703,12724,2714,13139,2767,2407,2818,3484,15918,2356,14194,13853,14113,14587,2234,19565,8665,17229,19489,4376,9406,15634,11094,10262,8667,14528,943,20167,17403,5289,20353,7922,5576,389,740,8496,630,10354,12154,10478,9409,7503,4896,12640,2285,2681,2590,9773,455,8163,9789,3173,3289,12405,10094,3490,2788,829,1120,1122,1045,1897,2068,1245,1092,664,779,1372,1223,829,1018,2438,2474,2600,2304,7586,4704,11913,3755,9534,15682,11823,4405,14130,19286,20283,18384,19227,6915,3290,11427,8673,15846,1903,6594,7413,8329,3943,2361,3454,3664,2396,2933,2848,3072,2803,2586,73,2903,2846,2791,100
605,6235,914,1909,698,1701,1525,1452,1339,199,1977,7149,13,10358,689,10826,541,10143,12759,9617,11375,11640,13259,14700,10478,13020,15136,6231,15881,18787,15262,11518,10656,20632,20130,9728,15389,6973,5930,16412,6977,4512,5350,6405,6158,7268,3128,5457,3098,6800,5440,9580,3167,7185,3245,3132,3026,3135,3173,8746,3287,7836,7848,7923,3222,7587,2987,8627,8628,8791,8543,8622,7962,11325,2938,11129,11392,6022,5481,6059,6135,6481,6271,6559,6374,6719,6549,6927,10524,10914,10571,10961,10735,11002,10869,11335,10873,11131,11217,11330,10866,11809,10829,11987,2875,2841,2910,2723,2797,11635,2731,2801,2748,2194,2940,2799,3514,13073,2791,20517,18058,18925,20127,14709,2039,19740,14476,9611,16455,17224,8663,2476,19856,18452,1289,7542,2154,8578,2,15334,7052,15926,18144,832,10826,12177,13414,10359,6947,13142,9781,12071,1615,11720,9333,3700,9185,3252,3503,2641,2716,2640,3384,1041,427,439,775,2111,1018,1288,1153,786,1830,936,664,629,3475,4308,8520,5119,5254,5450,4471,5244,4035,17804,8963,9886,7650,4680,7589,13841,9308,7581,10049,5772,9565,7496,676,1904,6133,8977,4034,4101,2546,6595,3800,2513,2031,3575,3430,3127,2891,1578,2630,2844,2771,-15,0,2885,7
462,4995,810,5810,466,741,579,967,404,1683,2021,5,9026,780,837,1197,825,667,12912,1118,12249,1805,10788,15142,14480,19801,18347,14242,13960,18063,14311,7096,8991,12602,19581,11505,5807,14119,5537,152,2439,8451,15318,2761,5662,2436,2845,3019,90,12675,2928,4749,2966,6354,9185,2770,3172,8971,3008,8795,3058,7873,8490,7966,3008,7839,8446,8749,11810,11635,11428,10901,11293,11514,6802,6269,6478,6166,6805,6189,6890,6406,6938,6933,7017,7016,7419,7144,11251,11258,11097,11132,11090,11052,11368,11288,11174,10910,11440,10951,11256,11681,11913,2714,2438,2909,2800,3016,10497,2832,2596,2862,2756,3021,3866,3696,3251,2582,2395,3017,2117,2810,2151,20234,12928,20282,20066,183,1290,2102,2070,1890,10547,10908,14005,20271,12030,11796,8241,19811,10737,388,16697,11423,400,364,15921,11942,10009,14557,8590,11832,15411,11677,11052,4854,7101,5212,3611,3116,2929,3579,2433,2706,3252,3390,1129,992,962,697,832,827,1655,1353,855,1042,8123,894,2272,686,925,13377,4679,1490,6596,9050,11912,5862,19990,8821,10918,674,12885,12799,17003,6092,11365,20555,13742,7959,6801,19864,11903,265,11950,10135,5978,2479,4914,5404,9020,4054,4105,3695,3050,2988,3370,3499,3007,2764,2558
5166,6286,6730,846,630,359,1275,8957,7,212,168,3907,1017,312,756,14129,1851,9066,1808,351,388,549,587,15683,12281,11213,18845,4872,15058,17507,1907,11516,6,7420,20556,13003,18595,17624,15378,7009,6909,16968,2846,6445,18468,3337,2533,20532,7291,16495,3127,2716,3298,2716,2982,11597,7794,9441,10161,2962,3067,8915,9006,8746,8624,9495,6875,8621,8399,8708,8927,9410,8832,11996,11640,9528,11635,6723,11944,6843,6412,7099,6899,7186,6988,10960,7096,11254,7364,11515,10868,11335,11250,11295,11341,12212,11473,11986,11681,11903,11678,12030,11869,12541,12281,10868,2981,12212,2861,2478,2731,3090,3552,3946,3732,2758,2763,2405,2630,12875,3428,7267,2360,6973,17116,5819,13454,11987,2890,10709,1985,4466,8326,8088,8741,11360,4747,9454,18339,19624,386,17665,12229,3054,20642,100,266,11514,4027,16583,9668,387,9885,4066,12482,3658,3848,2971,9607,2193,2705,1778,1912,1286,853,108,1104,821,1062,842,734,1702,1891,387,1316,389,4780,702,11597,4763,4827,60,5490,7886,5401,10521,12489,228,3432,9061,11094,6676,13495,7227,16502,7270,9011,14368,16542,7886,7914,8209,6724,5687,10054,2553,18587,4147,2379,4800,4103,4064,2320,3615,3242,1577,3463,103,722,95,2527
5935,5859,6144,5936,549,740,797,665,1739,1402,1039,47,288,562,1080,1019,1535,1241,1942,1991,262,942,95,199,187,11553,12889,12885,11909,19753,8869,20619,17064,15261,14359,6897,6596,18477,7296,14083,8488,12370,10438,6481,7269,6581,13108,3147,6847,2940,6435,3081,7184,2791,8823,8535,9806,3146,8622,10872,9362,9058,4304,8099,8486,8838,3167,2903,9450,8134,8667,11800,11991,11836,8153,11640,7023,6807,6760,6928,7022,6984,7416,7052,7416,7136,7759,7315,12027,11677,11362,11669,11215,11519,11901,11837,11956,11598,11859,11797,12289,11682,12252,11836,12497,3115,13217,3126,3095,2835,2355,3067,2930,2502,3987,3582,4261,4359,4721,16291,2763,2369,3488,2629,2238,2307,6404,4531,11554,17283,8858,6447,11391,6684,7414,10865,20440,6970,1822,12714,8363,4722,19979,20491,11469,10703,2066,11713,9842,674,6238,19887,5373,946,14944,19204,11053,3857,12365,6202,12030,3698,1738,1968,1082,1689,1500,996,1040,487,203,370,19,1123,3006,1155,92,850,4021,1413,5609,7631,1327,13413,9354,5000,5893,4615,3290,4093,5895,268,13913,17070,15414,7308,19749,20515,9843,7049,7185,6154,16196,8661,12255,10870,5688,6264,6363,16161,18982,4003,2600,3335,2762,0,3010,2868,1900,3,98
6080,6364,6644,7060,720,7707,502,386,22,340,274,825,1161,327,628,1865,1473,366,339,287,755,12451,675,3416,11051,12536,14266,12600,13452,12971,17772,13999,6401,19493,7375,11816,16542,6151,18429,6676,666,9355,910,19622,2989,8365,7575,3737,2821,2757,4582,3950,3121,2522,3126,2883,10232,9356,3800,2964,5044,7797,8920,7622,9098,2933,3184,9574,9063,9529,8557,10235,8924,3048,7761,8173,12434,12329,6979,7541,7017,7492,7194,7498,2899,7888,7241,7884,7758,11334,11672,12366,11862,11868,11789,11908,11744,12071,11865,12145,12203,11914,11948,12211,12330,3003,2898,3450,2905,3046,2859,2958,2802,4509,4544,13808,2710,14486,16783,6153,6765,18883,2682,2145,2739,1783,2035,20468,4367,20233,5248,9881,9668,9697,15298,11522,12281,11956,5454,17218,7968,11447,6979,14077,11515,20345,8626,11174,6974,8534,20607,10663,5619,19594,3961,13816,4154,2403,13648,1496,1819,796,827,1286,782,1120,909,285,1127,3300,3554,7225,3586,4109,1402,6931,4541,4150,6802,8211,6492,6235,5777,8405,12977,4801,5779,403,7014,7703,12107,16189,6189,10825,8923,10867,7803,9737,7509,9678,7704,347,8829,5856,7060,4595,4704,12408,2902,2520,2940,2848,2718,2679,3384,83,47,110,3055,99,49
5980,5905,6151,6399,6320,690,7302,6645,7061,6729,1206,775,410,943,1456,1279,1775,1965,2109,303,2635,2692,11314,2909,12074,132,368,6946,17524,13570,19043,15769,16262,18844,2068,12030,14179,7100,8006,2358,7665,7710,15718,7228,17009,802,7670,7021,4836,2781,4302,2837,7929,663,8071,2720,3663,6536,10552,3220,825,2822,9283,2883,11993,8870,9319,3171,6977,9651,9026,9929,8574,8961,9576,7956,8008,7097,9360,7132,7502,7093,7671,7668,7836,7732,7796,7710,8247,11829,12029,11678,11913,11679,12073,11910,12884,11757,12365,2832,12716,12366,12997,12610,3532,2818,2314,2864,13754,2938,12579,2832,2967,2906,4555,3581,3213,2804,15194,4517,15375,3114,2235,2581,3331,2361,2600,2819,2319,2757,7960,4548,11365,7912,11551,1972,9696,13093,20283,3038,19096,10197,18093,20488,8049,171,18499,1619,338,566,16261,16502,11333,12564,19990,3940,898,967,9535,10870,65,2940,1578,909,1121,1037,1660,48,818,702,814,1224,3329,3148,3611,3576,515,971,4342,4457,6147,8004,5610,9193,11634,6723,6194,4325,5690,7095,9404,12609,19572,6017,8622,8141,145,66,10401,8067,6020,9110,8572,18926,12067,10869,4714,10388,17101,2498,5611,31,3492,3111,2971,3178,2439,3622,3128,2285,77
6185,6482,6790,7145,6590,8009,7630,8242,8,486,302,1780,676,1942,1562,2111,2008,2438,2363,2845,2897,12545,3433,3981,15881,130,8245,20007,11025,14345,14197,165,15338,8897,14321,8205,13254,7414,14395,7708,19817,11347,8003,2434,7587,20067,8177,8362,3098,8194,885,2799,2831,2924,3041,15510,3178,2763,9302,3183,8442,9315,3125,2758,10008,10055,3149,9361,8703,10142,8880,10184,2903,8450,2943,13956,7915,8364,7719,8613,7872,9968,8049,8322,7922,8248,8236,8408,8008,11773,8472,11953,12027,12108,12525,12680,12326,12723,12724,12765,12757,2881,12716,3380,12152,2439,3163,3376,3796,2958,3715,13259,1962,3048,16947,19301,2906,2475,2696,2798,2754,3172,2792,2484,2779,2315,2670,2148,2146,15861,1073,11639,1821,2524,12406,8132,6685,9776,11679,10094,20568,14087,10694,17468,18226,16298,8491,17625,737,3656,8676,12248,287,438,940,5122,11209,2277,22,1239,1463,447,996,1282,2044,2027,1695,443,912,3531,3479,626,3643,845,688,6062,2500,15551,19854,12294,9927,92,171,6839,388,1367,13306,10784,245,1034,6725,10357,8,374,200,1047,9568,9060,8588,7421,6885,120,8779,2368,4505,16837,6873,6071,5482,2890,3687,727,3223,2366,3183,2759,3388,1619,14693,84,5
883,6729,7582,6513,7021,6846,457,7506,8168,8370,9019,8049,9017,168,2241,2103,2308,2225,2639,2475,3050,2980,3325,3381,3739,10863,343,320,9924,995,9499,12494,144,19573,8044,11673,7498,19285,10050,7172,5729,8783,6403,5334,10189,8785,2517,2900,2433,8047,7802,6008,2761,2815,7328,2629,2805,11945,3130,3066,9692,2774,12172,11595,10314,9931,10314,8634,10274,3153,9965,2754,9273,8786,8748,7368,7966,7917,7835,8041,8399,7876,8161,7871,8446,7962,8446,8066,8582,12531,12109,12673,12993,12364,12589,12562,12886,12797,11042,11981,12852,12525,13173,2595,13153,13299,13220,12060,2682,12025,12246,3063,2559,1943,12998,1859,3128,2905,14310,2770,3209,15218,2276,2075,2762,3584,2397,2675,2841,2690,13810,10700,10915,1917,15232,1641,20045,10405,6762,19286,20455,18761,11398,7467,17591,10208,7146,973,13417,505,19626,19692,10701,17033,163,425,486,853,1495,1787,2675,2579,884,914,1453,1129,1366,1559,2361,1089,618,802,1693,1738,496,3773,699,862,9612,7268,5291,4235,13412,5442,11034,14691,5454,6682,8048,16822,15228,7758,6478,2143,7882,14694,14708,9016,2353,5477,10784,16210,8906,6497,806,13420,6511,4544,11006,17902,2756,2902,4063,3233,2881,3208,94,2987,3176,2901,107
